8,8,8,0.4609676247815521,"0.10889548922324334,0.23315095909264363,0.3355113782464983,0.4238655328710483,0.48238284481240773,0.5352407178447081,0.585129419898221,0.6043797812364308","0.09813854098320007,0.07813237607479095,0.06107580289244652,0.047087959945201874,0.036942582577466965,0.03115754760801792,0.0296502485871315,0.030778581276535988,0.030521253123879433,0.029631296172738075,0.028625594452023506,0.02764556184411049,0.027588026598095894,0.026567598804831505,0.02658558264374733,0.026365229859948158,0.025184310972690582,0.025478480383753777,0.02487211488187313,0.024601353332400322,0.023573964834213257,0.02382167987525463,0.02403145283460617,0.023375254124403,0.022830916568636894,0.022356024011969566,0.022408094257116318,0.02217184007167816,0.022014902904629707,0.021649114787578583,0.02143438346683979,0.02121627889573574,0.021194778382778168,0.020783619955182076,0.020859068259596825,0.020393243059515953,0.020429879426956177,0.02010873332619667,0.020361004397273064,0.02016705647110939,0.020391780883073807,0.019881263375282288,0.01948087476193905,0.019853435456752777,0.01965353637933731,0.01971452310681343,0.019625777378678322,0.019336506724357605,0.01960168406367302,0.0193959828466177,0.019379997625947,0.019214404746890068,0.018901996314525604,0.019500574097037315,0.018969619646668434,0.01900588721036911,0.01851026900112629,0.019315069541335106,0.018760759383440018,0.018689103424549103,0.01858382299542427,0.018893426284193993,0.018995657563209534,0.018605196848511696,0.018932949751615524,0.018581151962280273,0.018882133066654205,0.01847117580473423,0.018537497147917747,0.01857425644993782,0.018779009580612183,0.018190428614616394,0.01859111525118351,0.018790006637573242,0.018419284373521805,0.018751857802271843,0.01846666820347309,0.018743660300970078,0.018366703763604164,0.01877693645656109,0.018843406811356544,0.018667202442884445,0.018958663567900658,0.01833466999232769,0.018469233065843582,0.018395671620965004,0.018382307142019272,0.018076123669743538,0.01795683242380619,0.01845620386302471,0.018088167533278465,0.018203005194664,0.01843421533703804,0.018240593373775482,0.018598470836877823,0.018377292901277542,0.018232455477118492,0.018076451495289803,0.01846354641020298,0.018561065196990967","0.6567100882530212,0.5582022070884705,0.4654199182987213,0.3800167739391327,0.30831030011177063,0.2577345371246338,0.23050086200237274,0.2218223363161087,0.22561663389205933,0.23693011701107025,0.2515975534915924,0.2649957239627838,0.27386167645454407,0.2777247130870819,0.2776705324649811,0.27589625120162964,0.27364566922187805,0.27268484234809875,0.27370327711105347,0.2762160003185272,0.28010186553001404,0.2846808135509491,0.29000136256217957,0.29504022002220154,0.2988905906677246,0.3020438551902771,0.30501270294189453,0.30874624848365784,0.31402090191841125,0.3197256028652191,0.3244812786579132,0.328032523393631,0.33218157291412354,0.3362067639827728,0.34037649631500244,0.3442164361476898,0.34757134318351746,0.34888413548469543,0.3512089252471924,0.35540470480918884,0.36020055413246155,0.36311474442481995,0.3643395006656647,0.3655454218387604,0.36752092838287354,0.37032243609428406,0.37356507778167725,0.375438928604126,0.37626171112060547,0.37748000025749207,0.37911009788513184,0.38033047318458557,0.38116180896759033,0.3826848566532135,0.3833123743534088,0.3836665451526642,0.3843839168548584,0.38658609986305237,0.38915085792541504,0.3906242847442627,0.3899252116680145,0.38706740736961365,0.3864560127258301,0.3886973559856415,0.3916280269622803,0.3933968245983124,0.39368200302124023,0.39287689328193665,0.3916250169277191,0.3893618583679199,0.390726238489151,0.3939224183559418,0.39414694905281067,0.3927309215068817,0.3922533690929413,0.3925827443599701,0.39253559708595276,0.3922264575958252,0.39126792550086975,0.39121612906455994,0.3904307782649994,0.38855597376823425,0.3877023756504059,0.3871726989746094,0.3880845010280609,0.3892669379711151,0.39010095596313477,0.3876815736293793,0.3844185769557953,0.38377848267555237,0.38526466488838196,0.3867526054382324,0.3879125118255615,0.38740599155426025,0.38723599910736084,0.38681280612945557,0.3870178759098053,0.38629814982414246,0.3860158920288086,0.38520923256874084"
in_size,out_size,keep_only_size,RMSE,RMSE_by_timestep,loss,val_loss
8,8,8,0.4672829179804262,"0.14181915583643823,0.25524936178032565,0.36419094054290874,0.4380812710048585,0.49422527454578674,0.5404768861455255,0.5799427137761587,0.6059364925115807","0.09476366639137268,0.0642760768532753,0.041732173413038254,0.028920115903019905,0.026376260444521904,0.02848769538104534,0.028350485488772392,0.027022646740078926,0.025253960862755775,0.02467220649123192,0.024562088772654533,0.02385534718632698,0.023675402626395226,0.02267209067940712,0.022792566567659378,0.022790150716900826,0.02185390330851078,0.022043677046895027,0.021910784766077995,0.021117329597473145,0.02103291265666485,0.020887479186058044,0.020967749878764153,0.020330432802438736,0.020163817331194878,0.02001970261335373,0.019488884136080742,0.01978244073688984,0.019194845110177994,0.019226040691137314,0.019080715253949165,0.019217226654291153,0.018654055893421173,0.018321380019187927,0.018558431416749954,0.018354807049036026,0.018326183781027794,0.01814238913357258,0.018012510612607002,0.018099579960107803,0.017983367666602135,0.017735546454787254,0.01776946894824505,0.017860738560557365,0.01754136011004448,0.018095729872584343,0.01791255548596382,0.017458926886320114,0.01756133697926998,0.01763826422393322,0.017513882368803024,0.01773797906935215,0.017892884090542793,0.0173456110060215,0.017350342124700546,0.01738629676401615,0.017387457191944122,0.017440399155020714,0.017494728788733482,0.017285281792283058,0.01701946184039116,0.01705288328230381,0.017176561057567596,0.017217298969626427,0.01685628667473793,0.016987403854727745,0.01689373329281807,0.01700539141893387,0.016679048538208008,0.016995683312416077,0.017294541001319885,0.016598382964730263,0.016977181658148766,0.016789956018328667,0.01702011376619339,0.016620224341750145,0.01716582477092743,0.017279328778386116,0.017015449702739716,0.016983600333333015,0.01701657474040985,0.01676248013973236,0.016856733709573746,0.01665981486439705,0.017023468390107155,0.01704026758670807,0.016631025820970535,0.01658499985933304,0.01687437854707241,0.01695977710187435,0.016765639185905457,0.01656257174909115,0.016962146386504173,0.01647840440273285,0.01645914651453495,0.016504578292369843,0.01627924293279648,0.016519909724593163,0.016745535656809807,0.016320282593369484","0.6637620329856873,0.5315262675285339,0.4138149321079254,0.3211857080459595,0.2664054334163666,0.2505013048648834,0.2606988251209259,0.2846420705318451,0.3107052147388458,0.33020833134651184,0.3398212492465973,0.34044766426086426,0.3358224928379059,0.3297339975833893,0.325818806886673,0.32549652457237244,0.32784682512283325,0.3325732946395874,0.3390751779079437,0.34505191445350647,0.3487006425857544,0.35080304741859436,0.35368695855140686,0.357135534286499,0.3605668544769287,0.36273518204689026,0.36573025584220886,0.36890438199043274,0.37351194024086,0.3773716986179352,0.380887508392334,0.3832687437534332,0.3850630819797516,0.38780155777931213,0.3917965590953827,0.3949317932128906,0.39613986015319824,0.3963254988193512,0.3990992605686188,0.4016772210597992,0.4049130976200104,0.40471598505973816,0.4045403003692627,0.40624046325683594,0.40649375319480896,0.40655484795570374,0.4075756371021271,0.4068947732448578,0.4053511917591095,0.404763787984848,0.4052976667881012,0.4082794189453125,0.4115428924560547,0.4090447425842285,0.40494176745414734,0.4022766053676605,0.40302491188049316,0.40513888001441956,0.4072354733943939,0.4060455858707428,0.40236952900886536,0.4008829593658447,0.4008788764476776,0.4021066129207611,0.4020553529262543,0.4020892381668091,0.4002746641635895,0.39717671275138855,0.396960586309433,0.3993082046508789,0.3995174467563629,0.39773181080818176,0.3967254161834717,0.3957918882369995,0.39622628688812256,0.3953153192996979,0.39466753602027893,0.3941894471645355,0.3931753635406494,0.39093878865242004,0.38971027731895447,0.38998308777809143,0.3905373513698578,0.38915276527404785,0.3890914022922516,0.3896671235561371,0.3889235556125641,0.3876868188381195,0.38748979568481445,0.38868415355682373,0.3880647122859955,0.38719049096107483,0.38657259941101074,0.38531064987182617,0.3846786916255951,0.3850676715373993,0.38581839203834534,0.38558101654052734,0.3843438923358917,0.3822396993637085"
in_size,out_size,keep_only_size,RMSE,RMSE_by_timestep,loss,val_loss
8,8,8,0.47818836040231083,"0.13800159935586487,0.24800481039816402,0.37746939886209896,0.4577615993887573,0.5225418472567868,0.5512151115858424,0.5855754163996538,0.6191287502540717","0.07998191565275192,0.045849524438381195,0.03010799176990986,0.0300949364900589,0.03128914162516594,0.028683416545391083,0.026267051696777344,0.025503400713205338,0.02493036538362503,0.024042949080467224,0.023114386945962906,0.022265302017331123,0.022063663229346275,0.021300382912158966,0.02083580195903778,0.020545292645692825,0.02019251510500908,0.019499775022268295,0.01936984807252884,0.018793081864714622,0.018965719267725945,0.01853789947926998,0.01847762241959572,0.017915140837430954,0.017999064177274704,0.018062904477119446,0.017814476042985916,0.017568314447999,0.017530390992760658,0.017327239736914635,0.01754840649664402,0.017068620771169662,0.017628952860832214,0.017028819769620895,0.017105691134929657,0.017094727605581284,0.01696808449923992,0.016678182408213615,0.01667380891740322,0.016563655808568,0.01688511297106743,0.016186602413654327,0.016848932951688766,0.016757123172283173,0.016803670674562454,0.016365116462111473,0.016590891405940056,0.016756949946284294,0.016538122668862343,0.016342347487807274,0.01631782203912735,0.016218720003962517,0.016157960519194603,0.016227249056100845,0.01623658649623394,0.016130845993757248,0.015944577753543854,0.015980077907443047,0.016104651615023613,0.01584627851843834,0.01607619598507881,0.015912853181362152,0.015804486349225044,0.01536344364285469,0.01564330980181694,0.01573822647333145,0.01583072543144226,0.015234357677400112,0.015739386901259422,0.015843383967876434,0.015585321001708508,0.015809187665581703,0.015920011326670647,0.015192987397313118,0.015515944920480251,0.015148470178246498,0.01546770241111517,0.015300704166293144,0.0155881242826581,0.01544102095067501,0.01589086279273033,0.015395098365843296,0.015076366253197193,0.015483208000659943,0.015295303426682949,0.014715541154146194,0.014872604981064796,0.015259921550750732,0.01528293825685978,0.015377387404441833,0.01484193280339241,0.015126458369195461,0.015290562063455582,0.014859611168503761,0.014573720283806324,0.014978354796767235,0.014845430850982666,0.015285090543329716,0.014523964375257492,0.014870193786919117","0.519070029258728,0.3457040786743164,0.25017184019088745,0.2241198569536209,0.2346147745847702,0.26677295565605164,0.30339565873146057,0.3256647288799286,0.32815900444984436,0.3176383078098297,0.3053378462791443,0.30150726437568665,0.31024837493896484,0.3263533413410187,0.3433539867401123,0.3572821617126465,0.3629189729690552,0.3629981279373169,0.36610785126686096,0.3769843876361847,0.38603004813194275,0.3914198875427246,0.3948068618774414,0.39789047837257385,0.40190425515174866,0.40314996242523193,0.40367579460144043,0.40383267402648926,0.4058750569820404,0.40640464425086975,0.40496695041656494,0.40257033705711365,0.40355202555656433,0.40252161026000977,0.4023404121398926,0.403512567281723,0.403052419424057,0.40015316009521484,0.3974691331386566,0.3974626064300537,0.3988465964794159,0.39776310324668884,0.3974051773548126,0.39747393131256104,0.3971429169178009,0.3947395980358124,0.39171406626701355,0.3949170410633087,0.3971833288669586,0.39325347542762756,0.38775554299354553,0.38706865906715393,0.38893139362335205,0.38918599486351013,0.38666805624961853,0.38553622364997864,0.3853423595428467,0.3862285614013672,0.3863493502140045,0.38282302021980286,0.3851061761379242,0.38653603196144104,0.38241133093833923,0.3795221149921417,0.3804208040237427,0.3802964985370636,0.3831271231174469,0.3802768290042877,0.3765335977077484,0.3750419318675995,0.37616267800331116,0.37764644622802734,0.3828641474246979,0.38028696179389954,0.3767379820346832,0.37640467286109924,0.37753725051879883,0.3768244981765747,0.37881338596343994,0.37930941581726074,0.37448763847351074,0.3729330599308014,0.3714657723903656,0.3723386824131012,0.3766086995601654,0.3737970292568207,0.3698481023311615,0.3708963394165039,0.3741377294063568,0.37136349081993103,0.3681763708591461,0.36892685294151306,0.37273749709129333,0.37030449509620667,0.3649510443210602,0.3626765310764313,0.3650185167789459,0.3694697916507721,0.3674878180027008,0.3627983033657074"
in_size,out_size,keep_only_size,RMSE,RMSE_by_timestep,loss,val_loss
8,8,8,0.4756325377534883,"0.1321369172588876,0.2599068758583296,0.3635329360855005,0.45988994927261284,0.5098337511026261,0.5476952380966036,0.5903864384037275,0.6151701654188768","0.08117832243442535,0.03907834365963936,0.030502891167998314,0.034050654619932175,0.029995989054441452,0.02584696002304554,0.025688987225294113,0.024422364309430122,0.02308906614780426,0.022208236157894135,0.021496379747986794,0.021383261308073997,0.020572444424033165,0.01956234872341156,0.019670682027935982,0.018732290714979172,0.018583383411169052,0.018260452896356583,0.01778254471719265,0.017955640330910683,0.017361734062433243,0.01743577979505062,0.01736011542379856,0.017554886639118195,0.017526954412460327,0.01735241711139679,0.016822800040245056,0.016964087262749672,0.01684410311281681,0.016967179253697395,0.016590239480137825,0.016524575650691986,0.016571760177612305,0.0167367085814476,0.01614888198673725,0.016346262767910957,0.016379982233047485,0.01638990268111229,0.016260012984275818,0.016203176230192184,0.015969140455126762,0.016033800318837166,0.015944069251418114,0.015955667942762375,0.015671884641051292,0.015938902273774147,0.01593254879117012,0.015358010306954384,0.015655163675546646,0.015901369974017143,0.015687786042690277,0.015614149160683155,0.015797900035977364,0.015733275562524796,0.015599955804646015,0.01541829016059637,0.015023665502667427,0.015468725934624672,0.01541637722402811,0.014949394389986992,0.015052329748868942,0.015244444832205772,0.014969411306083202,0.015344337560236454,0.015105525963008404,0.015244199894368649,0.015360166318714619,0.014894535765051842,0.014972626231610775,0.014863585121929646,0.014920075424015522,0.015042217448353767,0.014814810827374458,0.015012538991868496,0.014608591794967651,0.015040488913655281,0.014714553020894527,0.014937840402126312,0.01483625266700983,0.014500625431537628,0.015026540495455265,0.014789743348956108,0.014457606710493565,0.014605441130697727,0.014595064334571362,0.014659848064184189,0.014823793433606625,0.014654322527348995,0.014663483947515488,0.014631267637014389,0.014382248744368553,0.014366733841598034,0.014420009218156338,0.014619225636124611,0.014477571472525597,0.014749950729310513,0.014583821408450603,0.014224189333617687,0.014356210827827454,0.014047998003661633","0.46596452593803406,0.27847203612327576,0.2238932102918625,0.22987647354602814,0.2657853960990906,0.3111741542816162,0.3335888385772705,0.3275512754917145,0.3096173107624054,0.3004443049430847,0.3066416084766388,0.32524701952934265,0.346963495016098,0.3624512255191803,0.3691924512386322,0.3726511299610138,0.37937530875205994,0.38833245635032654,0.39770540595054626,0.4066469669342041,0.4122335910797119,0.41095829010009766,0.4067634046077728,0.40863093733787537,0.4148794710636139,0.4139666259288788,0.4090797007083893,0.40475478768348694,0.4052139222621918,0.40677574276924133,0.4059179127216339,0.40136751532554626,0.3979467451572418,0.39953097701072693,0.40128254890441895,0.39639195799827576,0.39197495579719543,0.390097051858902,0.3905947208404541,0.39568981528282166,0.39564934372901917,0.3871534764766693,0.38624143600463867,0.3917974531650543,0.3921310007572174,0.38577723503112793,0.38533318042755127,0.3859371244907379,0.38557982444763184,0.385667085647583,0.384786993265152,0.37996649742126465,0.38018345832824707,0.38169780373573303,0.37694671750068665,0.3751130998134613,0.3753317594528198,0.3763447105884552,0.377517968416214,0.37855544686317444,0.37817373871803284,0.37502190470695496,0.3764761984348297,0.37487688660621643,0.37060680985450745,0.372905969619751,0.3742119371891022,0.3711189329624176,0.3691323697566986,0.36988893151283264,0.3686631917953491,0.367037296295166,0.3660309612751007,0.36539480090141296,0.36707639694213867,0.3641932010650635,0.3620576560497284,0.3684748411178589,0.3627893030643463,0.3604796826839447,0.3673188388347626,0.36660638451576233,0.36168619990348816,0.362616628408432,0.36384686827659607,0.3642407953739166,0.36504027247428894,0.3660965859889984,0.3591594696044922,0.36250627040863037,0.367280513048172,0.3597687780857086,0.3579479455947876,0.36464646458625793,0.3674718141555786,0.3598363399505615,0.358108252286911,0.36440595984458923,0.3665156364440918,0.3626227378845215"
in_size,out_size,keep_only_size,RMSE,RMSE_by_timestep,loss,val_loss
8,8,8,0.47343293252747126,"0.16456371268189393,0.28504928804892604,0.39441825502855404,0.4655757304398611,0.5051381692989028,0.5460349097794877,0.5655800430433097,0.590959231670057","0.08274343609809875,0.03834415227174759,0.030386967584490776,0.03323741257190704,0.029374968260526657,0.025718456134200096,0.02520102821290493,0.02503443881869316,0.023143146187067032,0.02207769639790058,0.021968470886349678,0.021092437207698822,0.02045620232820511,0.01977366954088211,0.019264886155724525,0.01843143254518509,0.018480418249964714,0.018470659852027893,0.017707539722323418,0.017567632719874382,0.017719419673085213,0.01718773879110813,0.017132852226495743,0.01699043996632099,0.01696016639471054,0.016930071637034416,0.01707610674202442,0.01722976379096508,0.01679779216647148,0.01652894727885723,0.016595792025327682,0.01659206859767437,0.016650153324007988,0.015963464975357056,0.016378367319703102,0.015996437519788742,0.016286954283714294,0.0166490338742733,0.016169916838407516,0.015905335545539856,0.016304900869727135,0.015860985964536667,0.01592957228422165,0.016168678179383278,0.015876293182373047,0.015714334324002266,0.01561272144317627,0.01554129645228386,0.0162059236317873,0.015646999701857567,0.01561067532747984,0.015704847872257233,0.015749037265777588,0.015457026660442352,0.015120656229555607,0.015564766712486744,0.015099157579243183,0.0156708937138319,0.015107326209545135,0.015168024227023125,0.015304666943848133,0.01528436690568924,0.014997879043221474,0.015044181607663631,0.01493041031062603,0.01507838349789381,0.014980670064687729,0.015143707394599915,0.014998210594058037,0.0151461660861969,0.0149904889985919,0.014740011654794216,0.014779353514313698,0.014726575464010239,0.014726031571626663,0.014803369529545307,0.015031261369585991,0.014899696223437786,0.014580782502889633,0.014671551994979382,0.01474701426923275,0.014691527932882309,0.015094268135726452,0.014531469903886318,0.014456534758210182,0.014545842073857784,0.014628155156970024,0.014662576839327812,0.01474301889538765,0.014589381404221058,0.014483854174613953,0.014760056510567665,0.01453761663287878,0.014325639232993126,0.014427158050239086,0.01474407222121954,0.014364946633577347,0.014483602717518806,0.014156666584312916,0.014415060169994831,0.014345892705023289,0.014320367947220802,0.014188125729560852,0.014325392432510853,0.014310085214674473,0.014547262340784073,0.013769937679171562,0.014055456034839153,0.01394575834274292,0.01419961266219616,0.01428859680891037,0.013959984295070171,0.014269930310547352,0.013869751244783401,0.014275452122092247,0.013790984638035297,0.013945610262453556,0.014027152210474014,0.01373137254267931,0.013957575894892216,0.013892868533730507,0.013841163367033005,0.014034401625394821,0.013861995190382004,0.014205247163772583,0.014055394567549229,0.013931461609899998,0.013945438899099827,0.013778287917375565,0.014190650545060635,0.013802614994347095,0.013560548424720764,0.014033178798854351,0.013715479522943497,0.013640095479786396,0.01357889175415039,0.013929071836173534,0.013693798333406448,0.013753718696534634,0.013606029562652111,0.013498260639607906,0.013934229500591755,0.01366046629846096,0.013858438469469547,0.013480027206242085,0.013345057144761086,0.013560662046074867,0.013371583074331284,0.013568033464252949,0.013456244952976704,0.013492134399712086,0.013394768349826336,0.0135003961622715,0.013719853013753891,0.01321743056178093,0.013547280803322792,0.013581760227680206,0.013337810523808002,0.013359292410314083,0.013470256701111794,0.013655132614076138,0.01306945737451315,0.013079331256449223,0.013331996276974678,0.013288787566125393,0.01334205362945795,0.01330588385462761,0.013046023435890675,0.013207832351326942,0.013199640437960625,0.013448601588606834,0.0128973089158535,0.013117841444909573,0.012845605611801147,0.013134882785379887,0.012956737540662289,0.012893252074718475,0.013208378106355667,0.013005797751247883,0.013056408613920212,0.012773060239851475,0.012974746525287628,0.013036694377660751,0.012951799668371677,0.012921088375151157,0.012694725766777992,0.012904542498290539,0.012875676155090332,0.01266171969473362,0.013123733922839165,0.013143494725227356,0.012598488479852676,0.012507756240665913,0.012551791034638882,0.012593453750014305,0.012691307812929153,0.012545671314001083,0.012712808325886726,0.012721200473606586,0.012469680979847908","0.46370866894721985,0.2744714319705963,0.22325171530246735,0.22482752799987793,0.25644293427467346,0.2980963885784149,0.3203778564929962,0.3188505470752716,0.3043130338191986,0.2928507924079895,0.2940221428871155,0.30646800994873047,0.32425305247306824,0.3411886692047119,0.35255900025367737,0.3579089343547821,0.3622201979160309,0.3698500692844391,0.37912651896476746,0.3889537751674652,0.39811912178993225,0.40230560302734375,0.4030764102935791,0.4026252329349518,0.40308842062950134,0.4029994308948517,0.4054470360279083,0.4044407606124878,0.400167316198349,0.3932417631149292,0.3934507668018341,0.39853301644325256,0.39721500873565674,0.392397403717041,0.3889763653278351,0.39022955298423767,0.39281535148620605,0.3915341794490814,0.38774967193603516,0.38322773575782776,0.38829168677330017,0.38888418674468994,0.3824094235897064,0.3774939477443695,0.3794673979282379,0.3824578821659088,0.3817577660083771,0.38251519203186035,0.382550448179245,0.3814000189304352,0.37866225838661194,0.37590721249580383,0.3751557767391205,0.3776252269744873,0.3776875436306,0.3740570843219757,0.37232646346092224,0.37773287296295166,0.37479445338249207,0.36972907185554504,0.37150707840919495,0.3724564015865326,0.36867737770080566,0.366487592458725,0.36909279227256775,0.36927342414855957,0.3682335317134857,0.3673868477344513,0.3672771751880646,0.3644441068172455,0.3651488721370697,0.36531317234039307,0.3655097782611847,0.36720967292785645,0.3677651882171631,0.36418625712394714,0.3640561103820801,0.3649488389492035,0.36378148198127747,0.3652282655239105,0.36373475193977356,0.364266961812973,0.3637120723724365,0.3637017011642456,0.36262956261634827,0.36612287163734436,0.3684774935245514,0.36261606216430664,0.36153078079223633,0.3641664683818817,0.36371079087257385,0.36041784286499023,0.36244073510169983,0.3610386848449707,0.35830017924308777,0.3569198548793793,0.36030903458595276,0.3591924011707306,0.352343887090683,0.3586828410625458,0.35862791538238525,0.35855135321617126,0.3595954179763794,0.35633811354637146,0.3566928207874298,0.35798636078834534,0.359601229429245,0.358388751745224,0.35716840624809265,0.36084994673728943,0.3576684296131134,0.35777416825294495,0.35966432094573975,0.3586525022983551,0.3573768138885498,0.3513510227203369,0.35333284735679626,0.35310909152030945,0.35452210903167725,0.3572653830051422,0.3537536561489105,0.35579362511634827,0.35753026604652405,0.3557639420032501,0.3546958863735199,0.3564809262752533,0.3557288646697998,0.3531760275363922,0.3526395559310913,0.3583873212337494,0.35275891423225403,0.35533761978149414,0.3599329888820648,0.3584515154361725,0.354353666305542,0.35435041785240173,0.3578958213329315,0.35258570313453674,0.3544766902923584,0.3522636890411377,0.350407212972641,0.3559969961643219,0.3555814325809479,0.3544479310512543,0.3498881757259369,0.3561607897281647,0.3531303405761719,0.3499530553817749,0.358952134847641,0.35353991389274597,0.35473135113716125,0.3565353453159332,0.3542318344116211,0.353483110666275,0.3555831015110016,0.3551156520843506,0.35035696625709534,0.35484910011291504,0.3510465621948242,0.3514167368412018,0.35414114594459534,0.35045143961906433,0.3516334593296051,0.3564068377017975,0.3538660705089569,0.35720714926719666,0.3596777021884918,0.35922741889953613,0.3570462167263031,0.35356172919273376,0.3590284287929535,0.3527790307998657,0.35007035732269287,0.35608330368995667,0.3549943268299103,0.35250818729400635,0.35314616560935974,0.354733943939209,0.35697141289711,0.358015775680542,0.3560830354690552,0.36136746406555176,0.35535740852355957,0.35762080550193787,0.36261463165283203,0.3560818135738373,0.3609490394592285,0.36251100897789,0.35904183983802795,0.3598004877567291,0.3634427785873413,0.3560492992401123,0.36703768372535706,0.36117255687713623,0.3590310513973236,0.3648400604724884,0.3605617582798004,0.36270999908447266,0.36213240027427673,0.36350488662719727"
in_size,out_size,keep_only_size,RMSE,RMSE_by_timestep,loss,val_loss
